"key","value"
"OmEntry","33"
":critic","51"
"milliSeconds","240"
"byteArrayMap","17"
"getSelector:","10"
"toHead","21"
"isPureAccessor","15"
"globalName","67"
"wantsRoundedCorners","20"
"item:action:","13"
"TSMarker","10"
"shallowCopy","63"
"dotBounds","37"
"newEntity","13"
"drawStuffOn:","16"
"groupA","12"
"sourceCoder","14"
":i","1433"
"damageRect","14"
"line:to:color:","10"
"logged:","20"
"longestPath","27"
"stepperClass","17"
"minRank","23"
"typeName","48"
"slope","11"
"orderedDictionaryClass","10"
"strategy:","27"
"translate:to:","29"
"cachedChanges","11"
"inProcessFiles","10"
"remoteHostname:","11"
"PMDecimalFloatingNumber","26"
"versionInfo","306"
"valueNodes","20"
"columnsWidths","30"
"objectClass","93"
"changeRecords","36"
"measuredExtent:","17"
"mouseOverHandler","13"
"ClyNavigationEnvironment","13"
"context1","35"
"repeats","49"
"stream","6573"
"packageDir","13"
"MalFormalContext","12"
"c18FullRefereeInSideOutSide","14"
"IRBuilderTest","72"
"lastUpdateTimestamp","18"
"anRTKiviatNode","10"
"cluster","24"
"RxmBranch","10"
"BlMouseDownEvent","54"
"newBrowser","12"
"lowBit","20"
"rightToLeft","21"
"ypos","15"
"ZnPositionableReadStream","19"
"attachTo:","12"
"scrollBar","39"
"flatCollect:","367"
"BrRBTextStyler","18"
"factor","75"
"createRepository","27"
"ifNotEmpty:","241"
"aClassScope","61"
"analysis","18"
"oldContext","20"
"layout:","613"
"gtDisplayOn:","47"
"lcomModel","12"
"aTaskbar","11"
"matrix23","20"
"aFirstPagerPageModel","10"
"connectionInfo","14"
"string:attributes:","22"
"metaclassNamed:","32"
"commitTabPanel","28"
"markIndex","25"
"parent","1802"
"task","17"
"charPol","12"
"someEdges","12"
"aSourceClass","14"
"isList","15"
"WAIllegalStateException","16"
"overshoot","15"
"x:","132"
"year","197"
"assertPragma:givesKeyword:arguments:","30"
"buttonMorph","62"
"lookupString","10"
"RBAddInstanceVariableRefactoring","11"
"assert:parse:end:","19"
"BrToggleActivatedEvent","26"
"sig","22"
"z","314"
"matchBlock","20"
"spacePanel","10"
"spline","15"
"underlined","11"
"navigationKey:","15"
"rowColors","18"
"LRUCache","12"
"matrixClass","31"
"extensionMethods","22"
"aDataSet","12"
"FinalizationDependents","14"
"identityCollectionWithElementsCopyNotIdentical","12"
"concreteClassFor:","16"
"content:","944"
"whileTrue","88"
"currentImage","22"
"tFULLNAME","10"
"tmpReceiver","21"
"millisecondClockValue","157"
"requestNextPulse","10"
"releaseCommit","23"
"RTCellLayout","22"
"amplitude","10"
"slotInBadEnvironment","15"
"previousStep","12"
"readMSEStream:","13"
"magenta","22"
"inSpace","33"
"presentation","32"
"renderStructureAsSlide:","10"
"text1","33"
"jumpAheadTarget:","54"
":column","118"
"chosen","36"
"rn","10"
"import:","133"
"normalFillStyle","19"
"suiteTrimmed","13"
"intersectsInterval:","21"
"initialExtent","51"
"startIndex","427"
"remote","217"
"grp","13"
"rotationFor:","10"
"nextLittleEndianNumber:put:","18"
"instanceVariables:","34"
"tool:","25"
"list1","26"
"testsResult","31"
"localSlots","11"
"ByteSymbol","24"
"BrGlamorousButtonWithIconLook","71"
":script","10"
":selector","94"
"KeyboardEvent","13"
"behavior:","13"
"vResizing:","371"
"aGtPlayBook","18"
"diffTo:","20"
"commentString","25"
"o1","16"
"classUnderTest","33"
"gtExampleRuntimeContext","158"
"anArrayOfNumbers","23"
"isPresent","20"
"setNameTo:","13"
"token:","10"
"orderedSpecs","22"
"inverted","38"
"aContact","19"
"fingerId","20"
"nodePosition","40"
"adaptors","26"
"aTool","11"
"lastSpecialReturn","11"
"mask","170"
"isTransparent","99"
"stringBounds","54"
"FMTower","20"
"count","957"
"createInstance","29"
"aLoaderDirective","20"
"copyWithoutIndex:","12"
"identityHash","47"
"subquery2","32"
"headerAt:put:","39"
"objectsY:","11"
"isWindows","23"
"subscribeToSystem","10"
"resultsStream","70"
":aTransform","14"
"c15","13"
"RTForceBasedLayout","36"
"newPackage","28"
"aCenterBounds","11"
"str:","17"
"newFull","41"
"styleName","15"
"expectedResult","49"
"asciiValue","285"
"markupType","11"
"withRows:columnNames:","38"
"onStepDo:","98"
"disablePackageCache","22"
"hasPath","14"
"minor","78"
"usedKeys","12"
"resetSelection","18"
"removeInteractionIfPresent:","11"
"allExamples","77"
"inputString","12"
"Halt","47"
"boundsInWorld","36"
"rightItems","13"
"codeblock","10"
"BlEllipse","82"
"inject:into:","407"
"nextStep","15"
"inform:onAnswer:","25"
"onMouseOver","24"
"extentElement","17"
"rbEnvironment","12"
"isMethod","76"
"readInto:startingAt:count:","30"
"ensuredMap","10"
"signedLongLongAt:put:","20"
"browseMessageList:name:autoSelect:","10"
"UUIDGenerator","10"
"commentPanel","36"
"translateX:Y:","50"
"anchor:","15"
"asCollection","21"
"link:","234"
":aBoolean","15"
"updateShape","15"
"nodes:","272"
"RBProgramNode","23"
"ClySortedQueryResult","10"
"ClySortByNameFunction","18"
"RSControlsView","51"
"RegexSyntaxError","10"
"part2","17"
"aParameter","88"
"axisFrom:to:","12"
"isHorizontal","68"
"key:value:","129"
"wx","23"
"radian","12"
"class1","163"
"wideString","25"
"sum","560"
"firstName","18"
"y4","17"
"WAValueHolder","22"
"referenceSpec","13"
"action:","758"
"dataTree","17"
"nonEmptyMoreThan1Element","52"
"aClusterClass","10"
"aRank","11"
"simulated","13"
"behaviouralEntity","19"
"activeProcess","122"
"classRemoved","37"
"searchIndex","13"
"proc","49"
"aSnapshot","62"
"gtExample","73"
"withSeparatorsCompacted","22"
"NamedClassSelectors","12"
"req","13"
"group","1031"
":anException","32"
"aBitmap","25"
"mimeStream","35"
"localBlock","17"
"selectClass:","22"
"branchNamed:","27"
"faceForm","13"
"TRMouseClick","67"
"fastTreeTable","13"
"nextIntegerOfSize:signed:bigEndian:","12"
"ele","33"
"index1","10"
"messageText:","34"
"a:of:","24"
"help","68"
"endianness","12"
"instantiatePresenters:","11"
"read:","23"
"clickEvent","17"
"nrm1","11"
"fullGCs","24"
"stackOfSize:","14"
"layoutFrame","293"
"GtCoderSnippet","28"
"firstSeries","120"
"add:afterIndex:","21"
"no","13"
"updateUrl:","14"
"widthDif","12"
"protocolInstance:","14"
"eachParent","21"
"aMenuItem","42"
"MetacelloVersionConstructor","18"
"Heap","59"
"TLLinearLayout","49"
"readUpToEnd:limit:","11"
"order:","177"
"matchParent","892"
"iconClose","11"
"notifications","12"
"defaultExtent","30"
"lastIndent","11"
"xOf:put:","18"
"host1","12"
"newTextIn:text:","11"
"k2","17"
"pointClassName","14"
"beingWaitedOn","30"
"VOJSONSerializer","25"
"oSet","14"
"BlTransformAnimation","20"
"currApplicant","10"
"backBnd","14"
"addIfNotPresent:","10"
"emitStore:","13"
"tutu","36"
"enclosingThreshold","11"
"make:","24"
"labelArea","57"
"UIManager","414"
"MetalinkTargetResolver","28"
"MCDictionaryRepository","27"
"errorCount","28"
"pharoMethod","47"
":idx","41"
"buildMatrix","10"
"extractedTree","10"
"aBlText","11"
"categoryName","76"
"zoomToFit:extent:","14"
"point2","38"
"padLeftTo:with:","11"
"parentModel","19"
"useIndex","32"
"soleInstance","65"
"treeMorphClass","66"
"advance","39"
"MDLColor","33"
"morphClass","10"
"hoard","60"
"extByte","12"
"initializeWith:","58"
"currentVelocity","41"
"activeMethods","10"
"highlightColor","17"
"onSuccessRepositoryModified","26"
"rot","15"
"labelsWidth","11"
"isOk","20"
":namespace","21"
"configurationProjectSpec","39"
"allSuperclasses","55"
"dimension","93"
"request:initialAnswer:title:","14"
"BlParabollaArcElement","70"
"hasImpact","13"
":line","83"
"cornerPoint","14"
"highlightForMouseDown:","12"
"aXdReadFile","51"
"ensureClassNamed:","29"
"for:toDropIn:","10"
"parameter:","44"
":aCompiledMethod","19"
"energy","17"
":anAction","26"
"startSteppingSubmorphsOf:","15"
"timespan","30"
"widgets","28"
"tagName","87"
"collect","27"
"MooseQueryResult","22"
"candidate","57"
"extractedParseTree","32"
"consumer","90"
"project","1191"
"aStringOrStream","31"
"OFFSET_WINDOW","14"
":aCachedValue","25"
"should:raise:withExceptionDo:","13"
"HistoryLeaf","14"
"dashed","25"
"childAt:","29"
"fractionPart","45"
":item","287"
"svg","22"
"invocation","135"
"columnedList","474"
"uniqueIdentifierName","15"
"aCompositeNode","11"
"errors","69"
":browser","12"
"aResult","259"
"fromPixelToSpace:","17"
"defaultTitle","24"
"drawKeyboardFocusOn:","10"
"newAnimation","279"
"lb","310"
"edge2","17"
"previousValue","12"
"copyWithoutAll:","97"
":filter","28"
"isSticky","11"
"treeLineDashes","11"
"sy","130"
"yDir","11"
"submenus","10"
"veryDeepFixupWith:","13"
"collectBlock","20"
"dayOfMonth","42"
"anExceptionBlock","14"
"elementIconClose","10"
"destinationLine","16"
"isGlobal:in:","16"
"RTSmoothLayoutTranslator","16"
"lowerRows","28"
"tmp","238"
"maximumRadius","30"
"decorateTableCell:of:","12"
"failBlock:","45"
"aBrSpan","16"
"addClass:selector:","66"
"fragmentIndex","17"
"packageE","21"
"matchParent:","23"
"jsonWriter","20"
"groupSpecs","14"
"association","287"
"verifyClass:","26"
"variable:","16"
"asScalableElement","30"
"withAll:","633"
"BlPaintBackground","20"
"center","678"
"traits","80"
"outputFile","12"
"checkSolverClass:systemClass:stepperClass:","15"
"aHistogram","52"
"changes","383"
"localX","19"
"anEditorElement","28"
"asPParser","52"
"slideElement","13"
"isMultipleSelection","23"
"folderName","13"
"username:","54"
"dependents","48"
"newValue:","11"
"lengthArray","13"
"andFilter","10"
"aConstraint","15"
"ClyToolbarActivation","15"
"aLinkOrObject","18"
"intersection","31"
"primIndex","20"
"anAbsentBlock","17"
"receiver:selector:","51"
"super","8108"
"styleExpandingPreviewInText:","10"
"eventClassEndGesture","17"
"ThemeSettings","13"
"assertDependenciesFor:withDirect:andIndirect:","16"
"finalState","12"
"add:origin:corner:offsetOrigin:offsetCorner:","12"
"attributeCollection","19"
"relationSide","16"
"pluggableDict2","14"
"addFirst:","105"
"inputTextHeight","73"
"anEffect","19"
"pictureWrapper","12"
"asRefactoring","190"
"RTBundleBuilder","10"
"characterType","24"
"RBRenameClassRefactoring","17"
"methodGroup","19"
"colorFrom:","57"
"cY","10"
"para","26"
"allNamed:from:to:","30"
"ancestor","26"
"utc","10"
"aCenterLabelElement","23"
"aClipRect","10"
"PPDelegateParser","32"
"aParagraph","217"
"GtBoxer","11"
"extraParameter","16"
"lookupVar:","144"
"newPanel","34"
"orderedIdentityDictionaryClass","10"
"constraintsDo:","950"
"includesPackageNamed:","53"
"aLastResult","14"
":ea","238"
"toElement","117"
"flatLayout","36"
"defaultTreeMorph","27"
"menuPresenter","38"
"method2","81"
"aCompletionController","61"
"aNativeRequest","30"
"aSpecLayout","14"
"aTextParagraph","12"
"internalStream","27"
"float","38"
"aUITheme","13"
"methodChanges","13"
"dateAndTime","84"
"changeMock","102"
"newDropList","15"
"fileAnchor","25"
"system:","131"
"addNodeFromEntity:","51"
"preprocessedSource","11"
